,merchant_name,website,label
129,OkidokiStore,https://okidokistore.id,APPROVED
130,Megadapur,https://megadapur.com,APPROVED
131,"PutianGuangDianTradingCo.,Ltd",https://www.osloflytte.com,APPROVED
132,UD.ANUGRAHAL-FAZZA,http://www.anugrahalamindonesia.com,APPROVED
133,Hennessy,hennessydeclassified.id,APPROVED
134,TokoBatikWahyuKencana,www.batikwahyukencana.com,APPROVED
136,CV.CentraDectionsBarokah,https://dections.com,APPROVED
137,PutianLiebao,https://www.hotdealus.com/,APPROVED
138,IntiMatahari,https://intimatahari.com,APPROVED
139,WINNERvps,winnervps.com,APPROVED
140,HeyDiago,heydiago.com,APPROVED
141,GunnyStrapsIndonesia,https://gunnystore.id/,APPROVED
142,Quintino'sCoffee,www.quintinos-coffee.com,APPROVED
143,TokoCustoms.com,Tokocustoms.com,APPROVED
144,capltoez,https://www.risingstockadvisor.com/,APPROVED
145,CVAMIGA,https://amigabali.com,APPROVED
146,RATUMOTORVariasi,www.RatuMotor.id,APPROVED
147,Belisada,Belisada.co.id,APPROVED
148,Cash-It,http://www.cash-it.com,APPROVED
149,KSP.KaryaMitraSahabat,https://business.facebook.com/karyamitrasahabat/,APPROVED
150,ThreeBouquets,https://threebouquets.com/,APPROVED
151,Invify,https://invify.id,APPROVED
152,BOCIndonesia,https://www.boc.co.id,APPROVED
154,OrbexDigital,www.orbexdigital.com,APPROVED
155,TravelManagement,http://traveltmc.aph.co.id,APPROVED
156,WideHostMedia,widehostmedia.com,APPROVED
157,indimart.id,https://www.indimart.id,APPROVED
158,Plasawebhost,Plasawebhost.com,APPROVED
159,partyhive,https://partyhive.co/,APPROVED
160,BumbeeCollection,https://bumbeecollection.com,APPROVED
161,MiraiJewelry,https://miraijewelry.com/,APPROVED
162,La'Vieux,www.lavieux.com,APPROVED
163,CV.AlfajrilMultimedia,https://al-store.co.id/,APPROVED
165,PTZurichTopasLife,ZurichPro,APPROVED
166,EducateLearningIndonesia,https://sukses-cpns.com/shop,APPROVED
167,ullymom,https://ullymom.com/shop,APPROVED
168,BTS_INDOStore,https://twitter.com/BTS_Indo,APPROVED
169,ARMYBASEINASTORE,https://www.instagram.com/armybaseina/,APPROVED
170,KeppjjangFamsStore,http://keppjjangfamstore.com,APPROVED
171,Simas1,https://wesurance.com.hk/,APPROVED
172,ForbesIndonesiaDigitalConferences2019,https://fidc.connectar.tech,APPROVED
173,BUCINI,www.bucini.id,APPROVED
174,takkasimura,takkasimura.id,APPROVED
175,BabyologistforBusiness,http://babyobusiness.com,APPROVED
176,Enomin.com,https://www.enomin.com,APPROVED
177,thebrandbuffet,thebrandbuffet.com,APPROVED
179,DutaSaranaComputer,https://www.dutasarana.com/,APPROVED
180,BritishCouncilIndonesiaFoundation,https://www.britishcouncilfoundation.id/,APPROVED
181,LOVECLOTHING,http://www.loveclothing.top,APPROVED
182,onescare,https://gladeals.com/,APPROVED
183,Alexagift,http://www.alexagift.com,APPROVED
184,BCDToys,bcdtoys.id,APPROVED
185,PTDEVINCIGROUPINDONESIA,https://hosting.odoo-consultants.com/whmcs/cart.php?gid=1,APPROVED
186,Cv.KaruniaWebDesain,https://niadesain.com,APPROVED
187,Cubinx,https://cubinx.com,APPROVED
188,SukaLes,https://www.sukales.com/,APPROVED
189,Goodherbal,www.goodherbal.id,APPROVED
190,CactusBooks,https://www.cactusbooks.net/,APPROVED
191,Dekorie,https://dekorie.com/,APPROVED
192,CVanekaTirtaabadi,Https://cvatb.com,APPROVED
193,ColourYoga,https://www.colouryoga.com,APPROVED
194,WinstonSmithLady,winstonsmithlady.com,APPROVED
195,i-blend,https://www.i-blend.shop/,APPROVED
196,Herbalife-NurulMuhtadin,www.numuhta.goherbalife.com,APPROVED
197,Soepshop,https://www-soepshop-com.myshopify.com/,APPROVED
198,PTNEWRATNAMOTOR,https://www.andalanrental.com,APPROVED
199,AoraJewelry,www.aorajewelry.com,APPROVED
200,HotelCleopatra,https://cleopatrahotel.co.id,APPROVED
201,Xtremecellular,www.xtremecellular.com,APPROVED
202,WhereisWayan?,https://www.whereiswayan.com,APPROVED
203,SENCOMMUNITY,www.sencommunity.id/live,APPROVED
204,CertifiedSkillsAcademy,www.certifiedskills.academy,APPROVED
205,ebookmahasiswa,https://ebookmahasiswa.com,APPROVED
206,Oedel,https://oedel.id,APPROVED
207,Parnozh,https://www.parnozh.com,APPROVED
208,PKBMSUKSES,http://pkbmsukses.com/,APPROVED
209,Parlent,https://parlentworld.com,APPROVED
211,KEDAITAS,https://kedaitas.com/,APPROVED
212,A7PRO,https://a7pro.id,APPROVED
213,JeggerStore,https://www.jeggerstore.com/,APPROVED
215,Qimora,www.houseofqimora.com,APPROVED
216,Coier,Coier.co,APPROVED
217,NYETAK.ID,www.nyetak.id,APPROVED
218,Businesstest,www.businesspartnership.com,APPROVED
219,distributormci,https://bioglassaslimci.com,APPROVED
220,everinmall,Everinmall.com,APPROVED
221,SolefulIndonesia,https://www.solefulindonesia.com/,APPROVED
222,thegoodfriendsshop,https://thegoodfriendsshop.com,APPROVED
223,StylishArmor,http://stylisharmor.com/,APPROVED
224,NomadWatchWorksID,https://www.nomadwatchworksid.com,APPROVED
225,Kotakulit,http://www.kotakulit.com,APPROVED
226,Kitchenited,https://kitchenited.com,APPROVED
227,STEIITB,http://ichveps.org/,APPROVED
228,TOKOPEDIA,https://www.tokopedia.com,APPROVED
229,Plazashope.com,https://plazashope.com/,APPROVED
230,HanwhaLifeIndonesia,http://www.hanwhalife.co.id,APPROVED
231,GOROWATCHSToRe,https://gorowatch.com,APPROVED
232,MacadamiaHouse,http://www.macadamia-house.com/,APPROVED
234,Birue,www.birue.id,APPROVED
235,Krisbow,www.krisbow.com,APPROVED
236,Fasebuku,https://fasebuku.com,APPROVED
237,PT.IMBAKOMPUTERINDONESIA,www.imba.co.id,APPROVED
238,WaroengDiggers,https://guesthouse.waroengdiggers.com,APPROVED
239,PyramidsofChi,www.pyramidsofchi.com,APPROVED
240,Archiola,Frameprint.archiola.com,APPROVED
241,PTKaryaPanganSejahtera,https://karya-pangan.com/shop,APPROVED
242,TITIPBELIIN,titipbeliin.com,APPROVED
243,BukaDistro,https://www.bukadistro.com/,APPROVED
244,CobaTelur,www.cobatelur.com,APPROVED
245,EZCleanIndonesiaOfficial,http://ezcleanindonesia.com,APPROVED
246,NanostixJava,http://nanostixjava.com,APPROVED
247,TheHelpfulStuffs,https://thehelpfulstuffs.com/,APPROVED
248,ZayanaOrganic,www.zayanaorganic.com,APPROVED
249,Trolimu,https://trolimu.com,APPROVED
250,Igrossoke,www.igrossoke.com,APPROVED
251,BerdikariBook,https://www.berdikaribook.red/,APPROVED
252,EriSilvanus,http://member.erisilvanus.com/,APPROVED
253,SoraBIT,www.sorabit.com,APPROVED
254,HouseofEnde,http://house-of-ende.myshopify.com,APPROVED
255,thekaiaco,http://thekaiaco.com,APPROVED
256,ManulifeIndonesia,manulife.com,APPROVED
257,WEFLOATBALI,https://wefloatbali.com,APPROVED
258,PTAsuransiJiwaManulifeIndonesia,https://www.manulife.co.id,APPROVED
259,DAGANGBARENG,https://dagangbareng.com,APPROVED
260,CitraRizaHerbalifeIndDistributor,http://coachcitra.goherbalife.com/id-id,APPROVED
261,AnantoStore,https://anantostore.com,APPROVED
262,mysneakercollective,https://mysneakercollective.com/,APPROVED
263,MAKASSARELEKTRO,https://makassarelektro.com,APPROVED
264,PT.ASURANSICAKRAWALAPROTEKSIINDONESIA,beli.cakrawalaproteksi.com:185/home.aspx,APPROVED
265,itemar(indonesiatekstilmarket),http://www.itemar.net,APPROVED
266,UltradentalindoMandiri,https://ultradentalindomandiri.net/,APPROVED
267,ENKLAF,https://id.enklaf.com/,APPROVED
268,lifetime365,lifetime365.com,APPROVED
269,Vidio.com,www.vidio.com,APPROVED
270,PoochEveryday,https://poocheveryday.com,APPROVED
271,MSStudio,https://studio.malangswante.com,APPROVED
272,PustakaKita,https://pustakakita.com,APPROVED
273,consina,http://erp.consina.co.id:7879/,APPROVED
274,CREAMFICTION,www.creamfiction.com,APPROVED
275,SOXYSOCKY,http://www.soxysocky.com,APPROVED
276,Tokosepeda.com,https://www.tokosepeda.com,APPROVED
277,Atmosmobility/MARSSISTEMINTEGRASI,http://www.atmos-mobility.net,APPROVED
278,PT.TatuisCahayaInternasional,https://www.tatuis.com/,APPROVED
279,ErpanDistro,https://erpandistro.com/,APPROVED
280,DuniaKecantikan,www.duniakecantikan.com,APPROVED
281,BaijanStore,https://www.baijan.co.id,APPROVED
282,BNITapcash,www.bnitapcash.com,APPROVED
283,WillWatch11,http://willwatch11.com,APPROVED
284,Digital3,https://www.digital3store.com,APPROVED
285,HENDYGALLERY,http://gallery.h3ndy.com/,APPROVED
286,IKANASINTOP,https://ikanasin.top,APPROVED
288,Kenku,http://kenku-id.com,APPROVED
289,SamuraiCustoms,http://samuraicustoms.com,APPROVED
290,MALUKUTRADE.COM,https://malukutrade.com,APPROVED
291,GROSIRDIBANDUNG,http://www.bandung.gausahbayar.com,APPROVED
292,Febiola.com,https://www.febiola.com,APPROVED
293,KATTOEN,http://www.kattoen.id/,APPROVED
294,PTMEDIACLOUDINDONESIA,http://www.mediacloud.id,APPROVED
295,KoperasiNeoMitraUsaha,https://neomitrausaha.co.id/,APPROVED
296,MyArrum,https://www.myarrum.com,APPROVED
297,Zakkel,https://zakkel.id,APPROVED
298,SaintYork,https://saintyork.co,APPROVED
299,ANANAS,http://www.yuliabaltschun.com/shop,APPROVED
300,SekolahSinarHarapan,http://www.tamankanakkanaksinarharapan.mysch.id/,APPROVED
301,LetsGo4BiggerWorldBusiness,http://www.letsgo4biggerworldbusiness.com,APPROVED
302,TokoBalita.co.id,https://tokobalita.co.id,APPROVED
304,TokoBukuKarisma,http://www.tokobukukarisma.com,APPROVED
305,PTSriwijayaUtamaKarya,https://sriwijayahost.co.id,APPROVED
306,E-milyIndonesia,http://www.e-mily.com,APPROVED
307,DietKopiHijau,http://www.dietkopihijau.com,APPROVED
308,Bidboo,bidboo.co,APPROVED
309,SaberSavings,https://sabersavings.com,APPROVED
310,MinoroPrecuts,http://www.minoroprecuts.com,APPROVED
312,3TechOfficial,http://www.knalpot.id,APPROVED
313,KiosKorea,https://www.kioskorea.com,APPROVED
314,PustakaSirah,https://www.pustakasirah.co.id/,APPROVED
315,Edumart.id,https://www.edumart.id/,APPROVED
316,rizaabdillahtestdm,http://dhiyatest.com,APPROVED
317,SiomayJawara,http://www.siomayjawara.com,APPROVED
318,SealavieBeachwear,http://www.sealaviebeachwear.com,APPROVED
319,kraftnik,https://kraftnik.com,APPROVED
320,BajuMuslimShop,https://www.bajumuslimshop.com,APPROVED
321,Bolasalju.com,https://bolasalju.com,APPROVED
322,AndrologiIndonesia,https://www.andrologi.id,APPROVED
323,nufsedsticker,https://www.nufsedsticker.com,APPROVED
324,TokoPinter,http://www.tokopinter.com,APPROVED
325,IrvanFikaHerbalife,https://irvanfika.goherbalife.com,APPROVED
326,importir.org,http://importir.org,APPROVED
327,PlanetSportsAsia,https://www.planetsports.asia,APPROVED
328,WiwekaHealing,https://wiweka.com,APPROVED
329,orishop.id,http://www.orishop.id/,APPROVED
330,Hayati,http://www.yatistore.com,APPROVED
331,SinarMegaStore,https://www.sinarmegastore.com,APPROVED
332,TheCurvakum,http://www.thecurvakumlabel.com/,APPROVED
333,gayamu,https://gayamu.id,APPROVED
334,HushHobbies,http://hushhobbies.co,APPROVED
335,STORELOKA,https://www.storeloka.com,APPROVED
336,SapiCow,https://shop.sapicow.com,APPROVED
337,Aphrodite,https://aphroditeindonesia.com,APPROVED
338,tenuedeattire,http://www.tenuedeattire.co,APPROVED
339,buy-saber,https://buy-saber.com/,APPROVED
340,Asamax,https://www.asamax.com/,APPROVED
341,ALKHANSAS,https://store.alkhansas.com/,APPROVED
342,BuatKueYuk,http://www.buatkueyuk.com,APPROVED
343,PTWahanaPrestasiLogistik,http://www.wahana.com,APPROVED
344,PT.TirtaKumalaSari,https://pureheals.co.id,APPROVED
345,SohoFurnitureStore,https://www.soho.id/,APPROVED
346,Kaligrafina,https://www.kaligrafina.com/shop/,APPROVED
347,IWEARZULE,https://www.iwearzule.com/,APPROVED
348,ToPay,https://topay.co.id,APPROVED
349,UnclePandaStore,https://www.unclepandastore.com,APPROVED
350,T-LessFashion,https://www.t-lessfashion.com,APPROVED
351,Glowy,https://www.glowi.id,APPROVED
352,Valettashop,http://www.valettashop.com,APPROVED
353,CV.DeNatureIndonesia,https://www.denature.biz.id,APPROVED
354,SportHelmetOnlineStore,https://sporthelmet.site/,APPROVED
355,indovies.com,http://www.indovies.com,APPROVED
356,AuthenticSimply,https://www.authenticsimply.com/,APPROVED
357,DecoPerfect,https://decoperfect.com,REVIEWED
358,CadventuraStore,https://cadventura.com,REVIEWED
359,GOfasttrack,https://balifasttrackservice.com/,REVIEWED
360,NusaPixel.com,https://nusapixel.com,REVIEWED
361,B-DeBustITTS,https://bdebust-itts.000webhostapp.com/,REVIEWED
362,Rochmat,Julianroch.com,REVIEWED
363,Otako,https://kimiwibudesukah.blogspot.com,REVIEWED
364,Tokobakulsaji,https://mobile.facebook.com/profile.php?id=100022900119845&ref=content_filter,REVIEWED
365,FastabikaTravel,www.fastabikatravel.com,REVIEWED
366,E-Padlock,https://e-padlock.com/,REVIEWED
367,POEkaMira,ekapatas.com,REVIEWED
368,menliving.id,menliving.id,REVIEWED
369,jarot,binotech.co.id,REVIEWED
370,seifcorporate,https://www.facebook.com/arifnureffendhi?ref=bookmarks,REVIEWED
371,RioFrost,https://www.facebook.com/serarachan,REVIEWED
372,AlfanaGrup,https://alfanagrup.jstore.co/,REVIEWED
373,simplykitchen.id,www.simplykitchen.store,REVIEWED
374,InternationalGlobalNetwork,internationalglobalnetwork.com,REVIEWED
375,DailySolutions,toku.my.id,REVIEWED
376,oidcase,https://oidcase.com,REVIEWED
377,pt.anugrahkembarperkasa,https://www.tokopedia.com/kembar211,REVIEWED
378,Ardianto,https://www.instagram.com/ardnto__,REVIEWED
379,Bukausaha,www.bukausaha24.com,REVIEWED
380,TreelintOnlineStore,https://shop.treelint.com,REVIEWED
381,Shukshuk,shukshuk.com,REVIEWED
382,76riderShop,shop.76rider.com,REVIEWED
383,WiseWomanWaits,https://wise-woman-waits.myshopify.com/,REVIEWED
384,PPWaterFront,www.waterfrontestate.com,REVIEWED
385,Batikuniversal,batikuniversal.com,REVIEWED
386,PTXirkaSiliconTechnology,www.xirkachipset.com,REVIEWED
387,Rizkyhunter20,https://m.facebook.com/?_rdr,REVIEWED
388,MermaidMelodyJewelry,www.mermaidmelodyshop.com,REVIEWED
389,Lemintstudio,https://instagram.com/lemintstudio?igshid=1oerjqdnkavww,REVIEWED
390,musa,mymusa.com,REVIEWED
391,appsku,zuriaka.com,REVIEWED
392,PTMusterJeanInternational,https://interiortonic.com/,REVIEWED
393,balitransportcommunity,https://balitransportcommunity.com,REVIEWED
394,Syarif,https://m.facebook.com/ahmadseas?ref=bookmarks,REVIEWED
395,MarutiFlorist,www.marutiflorist.com,REVIEWED
396,aplikasirtrwkel,http://winit.co.id,REVIEWED
397,Sewaps4.com,https://sewaps4.com/,REVIEWED
398,Tradeshipper,https://tradeshipper.cloudaccess.host/,REVIEWED
399,Progrez.Cloud,https://progrez.cloud,REVIEWED
400,blackwhitepanda,https://www.facebook.com/jonatan.dwiki,REVIEWED
401,ptrasisme,pt-rasisme.com,REVIEWED
402,BeauPlus,beau.plus,REVIEWED
403,CV.SaharaBelco,Http://saharabelco.com,REVIEWED
404,Kurnia,Rama(Kurniaramadhan)@Facebook.com,REVIEWED
405,DachArFoodStop,dachar-food-stop.business.site,REVIEWED
406,BlackPearlBali,https://www.blackpearlbali.com/,REVIEWED
407,GorgeousArtsandHandicrafts,www.myhandicraftshop.com,REVIEWED
408,EXPOCOMPUSHOP,https://pusatsparepartlaptopmurah.wordpress.com/,REVIEWED
409,SDITAlIzzah,sdit.alizzah.id,REVIEWED
410,Ridho,info@linkaja.id,REVIEWED
411,TokoPrimuz,http://www.tokoprimuz.com,REVIEWED
412,NARDIFARM,https://instagram.com/nardifarm?igshid=1uzikxeqx1f8o,REVIEWED
413,VPSPULSA,https://centertrx.com,REVIEWED
414,BipiStore,https://bipistore.com/,REVIEWED
415,FiiBiiBabyandKids,Anitafebrie11@gmail.com,REVIEWED
416,Wandi,wandinewspaper.bogspot.com,REVIEWED
417,D.TALE,www.shopdtale.com,REVIEWED
418,DigiDaga.com,https://digidaga.com,REVIEWED
419,naurasyifapontianakshop,https://www.ghaniyyu100.com/?id=rajamoney,REVIEWED
420,LBBGenius,www.lbbprivatgenius.com,REVIEWED
421,ayamgeprekst,instagram.com/geprekst,REVIEWED
422,APP,appebriana.blogspot.com,REVIEWED
423,Irstore,http://irstore.com,REVIEWED
424,Saffroneshad,linktr.ee/saffrone_shad,REVIEWED
425,Balibelo,www.balibelotours.com,REVIEWED
426,CoffeeLoh,Instagram.com/coffee_loh,REVIEWED
427,ruswanto,m.facebook.com,REVIEWED
428,ADFShope,https://portalpulsa.com/r/P98868,REVIEWED
429,PT.YapindoJayaAbadi,www.m3yapindo.com,REVIEWED
430,Myherbalife,https://www.facebook.com/neri.marlis,REVIEWED
431,EyangGadjah,https://linktr.ee/eyanggadjah,REVIEWED
432,evoucha,https://evoucha.com,REVIEWED
433,macabletic,https://macabletic.com/,REVIEWED
434,TrickyEssentials,https://tricky-essentials.myshopify.com,REVIEWED
435,DonasiYayasanAr-Risalah,https://yayasanarrisalah.com/donate/,REVIEWED
436,Iwan,iwansaputra01k@gmail.com,REVIEWED
437,awaplaystation,vjayjack.blogspot.com,REVIEWED
438,dase,https://shopee.co.id/saung?smtt=0.0.9,REVIEWED
439,Hasnan,hasnanfadillah12@gmail.com,REVIEWED
440,Galeriombibi,Www.facebook.com/galeriombibi,REVIEWED
441,kukhulkiddo,kukhulkiddo.com,REVIEWED
442,KEYBOXINDONESIA,keyboxindonesia.co.id,REVIEWED
443,AlghaniId,www.alghani.id,REVIEWED
444,Trader,https://m.facebook.com/fahmi.syariat?ref=bookmarks,REVIEWED
445,n3a.army,https://www.instagram.com/n3a.army/,REVIEWED
446,Aldrin,aldrinpratama.wordpress.com,REVIEWED
447,Fikriawan,http://ucangdolkn.com,REVIEWED
448,labkoding.id,labkoding.id,REVIEWED
449,DivaMart,https://www.tokopedia.com/divamart,REVIEWED
450,Rushtic,bit.ly/rushtid,REVIEWED
451,SkinMateIndonesia,http://skinmate.co.id,REVIEWED
452,Yskosmetik,Www.smm4us.co.id,REVIEWED
453,ARMYsOutfit,www.armysoutfit.com,REJECTED
454,Sociolo,https://sociolo.net/,REJECTED
455,InsanDigital,https://www.fastpay.co.id/?FA30448,REJECTED
456,BinaryOption,https://binomoidn.com/id/cashier,REJECTED
